date,election_name,election_url
"
                                                                                        2019/11/03
                                                        ",大石田町長選挙,https://go2senkyo.com/local/senkyo/19564
"
                                                                                        2019/11/03
                                                        ",西ノ島町議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19740
"
                                                                                        2019/11/03
                                                        ",大石田町議会議員選挙,https://go2senkyo.com/local/senkyo/19574
"
                                                                                        2019/11/10
                                                        ",大熊町長選挙,https://go2senkyo.com/local/senkyo/19483
"
                                                                                        2019/11/10
                                                        ",土浦市長選挙,https://go2senkyo.com/local/senkyo/19503
"
                                                                                        2019/11/10
                                                        ",袖ケ浦市長選挙,https://go2senkyo.com/local/senkyo/19505
"
                                                                                        2019/11/10
                                                        ",阿南市長選挙,https://go2senkyo.com/local/senkyo/19527
"
                                                                                        2019/11/10
                                                        ",釜石市長選挙,https://go2senkyo.com/local/senkyo/19296
"
                                                                                        2019/11/10
                                                        ",南牧村長選挙,https://go2senkyo.com/local/senkyo/19565
"
                                                                                        2019/11/10
                                                        ",海田町長選挙,https://go2senkyo.com/local/senkyo/19568
"
                                                                                        2019/11/10
                                                        ",富士河口湖町長選挙,https://go2senkyo.com/local/senkyo/19581
"
                                                                                        2019/11/10
                                                        ",海老名市長選挙,https://go2senkyo.com/local/senkyo/19437
"
                                                                                        2019/11/10
                                                        ",香美町議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19738
"
                                                                                        2019/11/10
                                                        ",相馬市議会議員選挙,https://go2senkyo.com/local/senkyo/19484
"
                                                                                        2019/11/10
                                                        ",川俣町議会議員選挙,https://go2senkyo.com/local/senkyo/19485
"
                                                                                        2019/11/10
                                                        ",新地町議会議員選挙,https://go2senkyo.com/local/senkyo/19487
"
                                                                                        2019/11/10
                                                        ",葛尾村議会議員選挙,https://go2senkyo.com/local/senkyo/19488
"
                                                                                        2019/11/10
                                                        ",大熊町議会議員選挙,https://go2senkyo.com/local/senkyo/19489
"
                                                                                        2019/11/10
                                                        ",川内村議会議員選挙,https://go2senkyo.com/local/senkyo/19490
"
                                                                                        2019/11/10
                                                        ",福島県議会議員選挙,https://go2senkyo.com/local/senkyo/19254
"
                                                                                        2019/11/10
                                                        ",高萩市議会議員選挙,https://go2senkyo.com/local/senkyo/19516
"
                                                                                        2019/11/10
                                                        ",大網白里市議会議員選挙,https://go2senkyo.com/local/senkyo/16477
"
                                                                                        2019/11/10
                                                        ",共和町議会議員選挙,https://go2senkyo.com/local/senkyo/19572
"
                                                                                        2019/11/10
                                                        ",阿南市議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19633
"
                                                                                        2019/11/10
                                                        ",袖ケ浦市議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19917
"
                                                                                        2019/11/10
                                                        ",広野町議会議員選挙,https://go2senkyo.com/local/senkyo/19918
"
                                                                                        2019/11/10
                                                        ",久米島町議会議員選挙,https://go2senkyo.com/local/senkyo/19919
"
                                                                                        2019/11/10
                                                        ",海老名市議会議員選挙,https://go2senkyo.com/local/senkyo/19441
"
                                                                                        2019/11/10
                                                        ",海田町議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19704
"
                                                                                        2019/11/17
                                                        ",青梅市長選挙,https://go2senkyo.com/local/senkyo/19506
"
                                                                                        2019/11/17
                                                        ",大牟田市長選挙,https://go2senkyo.com/local/senkyo/19529
"
                                                                                        2019/11/17
                                                        ",飯島町長選挙,https://go2senkyo.com/local/senkyo/19566
"
                                                                                        2019/11/17
                                                        ",田尻町長選挙,https://go2senkyo.com/local/senkyo/19567
"
                                                                                        2019/11/17
                                                        ",南相木村長選挙,https://go2senkyo.com/local/senkyo/19582
"
                                                                                        2019/11/17
                                                        ",御杖村長選挙,https://go2senkyo.com/local/senkyo/19584
"
                                                                                        2019/11/17
                                                        ",長門市長選挙,https://go2senkyo.com/local/senkyo/19433
"
                                                                                        2019/11/17
                                                        ",小美玉市議会議員選挙,https://go2senkyo.com/local/senkyo/19517
"
                                                                                        2019/11/17
                                                        ",大田原市議会議員選挙,https://go2senkyo.com/local/senkyo/19518
"
                                                                                        2019/11/17
                                                        ",我孫子市議会議員選挙,https://go2senkyo.com/local/senkyo/19519
"
                                                                                        2019/11/17
                                                        ",桶川市議会議員選挙,https://go2senkyo.com/local/senkyo/19535
"
                                                                                        2019/11/17
                                                        ",鮭川村議会議員選挙,https://go2senkyo.com/local/senkyo/20070
"
                                                                                        2019/11/17
                                                        ",東庄町議会議員選挙,https://go2senkyo.com/local/senkyo/19576
"
                                                                                        2019/11/17
                                                        ",奥多摩町議会議員選挙,https://go2senkyo.com/local/senkyo/19577
"
                                                                                        2019/11/17
                                                        ",八千代町議会議員選挙,https://go2senkyo.com/local/senkyo/19589
"
                                                                                        2019/11/17
                                                        ",長門市議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19599
"
                                                                                        2019/11/17
                                                        ",丸森町議会議員選挙,https://go2senkyo.com/local/senkyo/19354
"
                                                                                        2019/11/24
                                                        ",高知市長選挙,https://go2senkyo.com/local/senkyo/19511
"
                                                                                        2019/11/24
                                                        ",高知県知事選挙,https://go2senkyo.com/local/senkyo/19514
"
                                                                                        2019/11/24
                                                        ",米沢市長選挙,https://go2senkyo.com/local/senkyo/19515
"
                                                                                        2019/11/24
                                                        ",いなべ市長選挙,https://go2senkyo.com/local/senkyo/19525
"
                                                                                        2019/11/24
                                                        ",桜井市長選挙,https://go2senkyo.com/local/senkyo/19526
"
                                                                                        2019/11/24
                                                        ",松前町長選挙,https://go2senkyo.com/local/senkyo/19585
"
                                                                                        2019/11/24
                                                        ",大川村長選挙,https://go2senkyo.com/local/senkyo/19586
"
                                                                                        2019/11/24
                                                        ",北大東村長選挙,https://go2senkyo.com/local/senkyo/19587
"
                                                                                        2019/11/24
                                                        ",いなべ市議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19714
"
                                                                                        2019/11/24
                                                        ",白子町議会議員選挙,https://go2senkyo.com/local/senkyo/19590
"
                                                                                        2019/11/24
                                                        ",金山町議会議員選挙,https://go2senkyo.com/local/senkyo/19914
