date,election_name,election_url
"
                                                                                        2019/09/01
                                                        ",塩竈市長選挙,https://go2senkyo.com/local/senkyo/19293
"
                                                                                        2019/09/01
                                                        ",七ヶ浜町長選挙,https://go2senkyo.com/local/senkyo/19309
"
                                                                                        2019/09/01
                                                        ",松島町長選挙,https://go2senkyo.com/local/senkyo/19311
"
                                                                                        2019/09/01
                                                        ",天栄村長選挙,https://go2senkyo.com/local/senkyo/19338
"
                                                                                        2019/09/01
                                                        ",酒田市長選挙,https://go2senkyo.com/local/senkyo/19432
"
                                                                                        2019/09/01
                                                        ",立川市長選挙,https://go2senkyo.com/local/senkyo/19435
"
                                                                                        2019/09/01
                                                        ",寒川町長選挙,https://go2senkyo.com/local/senkyo/19438
"
                                                                                        2019/09/01
                                                        ",枚方市長選挙,https://go2senkyo.com/local/senkyo/19445
"
                                                                                        2019/09/01
                                                        ",都農町長選挙,https://go2senkyo.com/local/senkyo/19448
"
                                                                                        2019/09/01
                                                        ",下仁田町議会議員選挙,https://go2senkyo.com/local/senkyo/19467
"
                                                                                        2019/09/01
                                                        ",塩竈市議会議員選挙,https://go2senkyo.com/local/senkyo/19291
"
                                                                                        2019/09/01
                                                        ",多賀城市議会議員選挙,https://go2senkyo.com/local/senkyo/19292
"
                                                                                        2019/09/01
                                                        ",利府町議会議員選挙,https://go2senkyo.com/local/senkyo/19308
"
                                                                                        2019/09/01
                                                        ",七ヶ浜町議会議員選挙,https://go2senkyo.com/local/senkyo/19310
"
                                                                                        2019/09/01
                                                        ",鹿沼市議会議員選挙,https://go2senkyo.com/local/senkyo/19314
"
                                                                                        2019/09/01
                                                        ",酒田市議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19619
"
                                                                                        2019/09/01
                                                        ",寒川町議会議員補欠選挙,https://go2senkyo.com/local/senkyo/19628
"
                                                                                        2019/09/08
                                                        ",岩手県知事選挙,https://go2senkyo.com/local/senkyo/19280
"
                                                                                        2019/09/08
                                                        ",松阪市長選挙,https://go2senkyo.com/local/senkyo/19303
"
                                                                                        2019/09/08
                                                        ",三春町長選挙,https://go2senkyo.com/local/senkyo/19340
"
                                                                                        2019/09/08
                                                        ",上関町長選挙,https://go2senkyo.com/local/senkyo/19624
"
                                                                                        2019/09/08
                                                        ",北見市長選挙,https://go2senkyo.com/local/senkyo/16563
"
                                                                                        2019/09/08
                                                        ",牛久市長選挙,https://go2senkyo.com/local/senkyo/19422
"
                                                                                        2019/09/08
                                                        ",山形市長選挙,https://go2senkyo.com/local/senkyo/19429
"
                                                                                        2019/09/08
                                                        ",新庄市長選挙,https://go2senkyo.com/local/senkyo/19434
"
                                                                                        2019/09/08
                                                        ",岡谷市長選挙,https://go2senkyo.com/local/senkyo/19440
"
                                                                                        2019/09/08
                                                        ",与論町長選挙,https://go2senkyo.com/local/senkyo/19449
"
                                                                                        2019/09/08
                                                        ",草津市議会議員選挙,https://go2senkyo.com/local/senkyo/19461
"
                                                                                        2019/09/08
                                                        ",交野市議会議員選挙,https://go2senkyo.com/local/senkyo/19462
"
                                                                                        2019/09/08
                                                        ",広川町議会議員選挙,https://go2senkyo.com/local/senkyo/19479
"
                                                                                        2019/09/08
                                                        ",岩手県議会議員選挙,https://go2senkyo.com/local/senkyo/19255
"
                                                                                        2019/09/08
                                                        ",陸前高田市議会議員選挙,https://go2senkyo.com/local/senkyo/19297
